condition,step,n,accuracy,agreement,entropy
shift,0,30,0.733,0.573,1.268
shift,1,30,0.733,0.607,1.090
shift,2,30,0.667,0.607,1.151
shift,3,30,0.600,0.600,1.148
shift,4,30,0.833,0.633,1.127
shift,5,30,0.800,0.587,1.221
shift,6,30,0.800,0.607,1.151
shift,7,30,0.667,0.593,1.188
shift,8,30,0.500,0.540,1.238
shift,9,30,0.867,0.620,1.078
shift,10,30,0.200,0.620,1.063
shift,11,30,0.367,0.587,1.165
shift,12,30,0.300,0.607,1.083
shift,13,30,0.267,0.547,1.288
shift,14,30,0.433,0.573,1.181
shift,15,30,0.600,0.567,1.160
shift,16,30,0.533,0.533,1.295
shift,17,30,0.300,0.580,1.185
shift,18,30,0.600,0.573,1.169
shift,19,30,0.767,0.580,1.164
