condition,step,n,accuracy,agreement,entropy
shift,0,30,0.767,0.540,1.270
shift,1,30,0.800,0.647,1.101
shift,2,30,0.600,0.587,1.196
shift,3,30,0.667,0.587,1.188
shift,4,30,0.800,0.533,1.302
shift,5,30,0.833,0.567,1.217
shift,6,30,0.767,0.580,1.167
shift,7,30,0.700,0.587,1.177
shift,8,30,0.667,0.547,1.245
shift,9,30,0.633,0.553,1.194
shift,10,30,0.433,0.587,1.142
shift,11,30,0.567,0.620,1.108
shift,12,30,0.400,0.600,1.162
shift,13,30,0.433,0.560,1.258
shift,14,30,0.633,0.580,1.186
shift,15,30,0.600,0.573,1.159
shift,16,30,0.600,0.560,1.221
shift,17,30,0.567,0.527,1.276
shift,18,30,0.567,0.560,1.175
shift,19,30,0.600,0.600,1.123
