seed,accuracy_collapse_step,confidence_dip_step,cling_time,censored
ov1_blue_seed0,10,12,2,0
ov1_blue_seed1,11,11,0,0
ov1_blue_seed2,10,10,0,0
ov1_blue_seed3,10,12,2,0
ov1_blue_seed4,10,14,4,0
ov1_blue_seed5,12,15,3,0
ov1_blue_seed6,10,12,2,0
ov1_blue_seed7,11,12,1,0
ov1_blue_seed8,10,,,1
ov1_blue_seed9,10,13,3,0
ov1_green_seed0,10,12,2,0
ov1_green_seed1,10,10,0,0
ov1_green_seed2,10,11,1,0
ov1_green_seed3,11,11,0,0
ov1_green_seed4,10,14,4,0
ov1_green_seed5,10,10,0,0
ov1_green_seed6,10,15,5,0
ov1_green_seed7,10,11,1,0
ov1_green_seed8,11,11,0,0
ov1_green_seed9,10,12,2,0
ov1_red_seed0,10,10,0,0
ov1_red_seed1,10,10,0,0
ov1_red_seed2,10,10,0,0
ov1_red_seed3,11,15,4,0
ov1_red_seed4,10,13,3,0
ov1_red_seed5,10,14,4,0
ov1_red_seed6,10,14,4,0
ov1_red_seed7,10,13,3,0
ov1_red_seed8,10,11,1,0
ov1_red_seed9,10,12,2,0
