seed,accuracy_collapse_step,confidence_dip_step,cling_time,censored
ov2_blue-green_seed0,14,15,1,0
ov2_blue-green_seed1,10,10,0,0
ov2_blue-green_seed2,16,17,1,0
ov2_blue-green_seed3,12,16,4,0
ov2_blue-green_seed4,10,13,3,0
ov2_blue-green_seed5,13,15,2,0
ov2_blue-green_seed6,12,15,3,0
ov2_blue-green_seed7,10,10,0,0
ov2_blue-green_seed8,11,11,0,0
ov2_blue-green_seed9,10,10,0,0
ov2_blue-red_seed0,10,11,1,0
ov2_blue-red_seed1,11,11,0,0
ov2_blue-red_seed2,10,10,0,0
ov2_blue-red_seed3,10,12,2,0
ov2_blue-red_seed4,10,10,0,0
ov2_blue-red_seed5,10,12,2,0
ov2_blue-red_seed6,10,15,5,0
ov2_blue-red_seed7,11,12,1,0
ov2_blue-red_seed8,10,13,3,0
ov2_blue-red_seed9,10,18,8,0
ov2_green-red_seed0,11,12,1,0
ov2_green-red_seed1,10,18,8,0
ov2_green-red_seed2,10,14,4,0
ov2_green-red_seed3,11,11,0,0
ov2_green-red_seed4,10,10,0,0
ov2_green-red_seed5,10,19,9,0
ov2_green-red_seed6,12,12,0,0
ov2_green-red_seed7,10,10,0,0
ov2_green-red_seed8,11,13,2,0
ov2_green-red_seed9,12,13,1,0
