condition,step,n,accuracy,agreement,entropy
shift,0,30,0.833,0.653,1.062
shift,1,30,0.733,0.587,1.188
shift,2,30,0.800,0.580,1.200
shift,3,30,0.533,0.600,1.111
shift,4,30,0.733,0.553,1.303
shift,5,30,0.700,0.580,1.221
shift,6,30,0.567,0.613,1.137
shift,7,30,0.733,0.573,1.182
shift,8,30,0.600,0.560,1.255
shift,9,30,0.600,0.560,1.196
shift,10,30,0.100,0.580,1.190
shift,11,30,0.200,0.553,1.243
shift,12,30,0.233,0.567,1.250
shift,13,30,0.333,0.527,1.340
shift,14,30,0.267,0.587,1.215
shift,15,30,0.467,0.507,1.342
shift,16,30,0.200,0.553,1.220
shift,17,30,0.500,0.580,1.194
shift,18,30,0.500,0.600,1.104
shift,19,30,0.633,0.640,1.058
