method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,236,0.500,0.485,0.407,0.563,0.678,0.581,0.774,0.365,0.293,0.438
semantic_entropy,236,0.750,0.471,0.391,0.551,0.714,0.650,0.775,0.850,0.794,0.902
reversed_agreement,236,0.800,0.515,0.438,0.593,0.676,0.516,0.829,0.150,0.098,0.206
reversed_entropy,236,-0.750,0.529,0.449,0.609,0.676,0.516,0.829,0.150,0.098,0.206
cling_timing,236,0.600,0.624,0.547,0.701,0.776,0.696,0.849,0.539,0.461,0.614
probe_rule_change,236,0.300,0.506,0.500,0.515,1.000,0,1.000,0.012,0.000,0.030
axon_probe,236,0.300,0.503,0.500,0.509,1.000,0,1.000,0.006,0.000,0.019
axon_probe_minus_uncertainty_agreement,236,,0.018,-0.061,0.096,0.322,-0.753,0.409,-0.359,-0.433,-0.287
axon_probe_minus_semantic_entropy,236,,0.032,-0.048,0.112,0.286,-0.760,0.344,-0.844,-0.899,-0.784
axon_probe_minus_reversed_agreement,236,,-0.012,-0.089,0.065,0.324,-0.783,0.455,-0.144,-0.198,-0.093
axon_probe_minus_reversed_entropy,236,,-0.026,-0.106,0.054,0.324,-0.783,0.455,-0.144,-0.198,-0.093
axon_probe_minus_cling_timing,236,,-0.121,-0.197,-0.044,0.224,-0.833,0.297,-0.533,-0.610,-0.453
axon_probe_minus_probe_rule_change,236,,-0.003,-0.009,0.000,0.000,-1.000,0.000,-0.006,-0.019,0.000
