method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,240,0.500,0.554,0.489,0.617,0.530,0.410,0.652,0.310,0.225,0.398
semantic_entropy,240,0.750,0.541,0.469,0.612,0.490,0.425,0.558,0.903,0.845,0.953
reversed_agreement,240,0.800,0.446,0.383,0.511,0.344,0.179,0.520,0.097,0.047,0.155
reversed_entropy,240,-0.750,0.459,0.388,0.532,0.344,0.179,0.520,0.097,0.047,0.155
cling_timing,240,0.600,0.560,0.484,0.630,0.542,0.451,0.630,0.575,0.482,0.664
probe_rule_change,240,0.300,0.493,0.473,0.513,0.333,0.000,0.750,0.018,0.000,0.046
axon_probe,240,0.300,0.492,0.479,0.500,0.000,0.000,0.000,0.000,0.000,0.000
axon_probe_minus_uncertainty_agreement,240,,-0.062,-0.126,0.005,-0.530,-0.652,-0.410,-0.310,-0.398,-0.225
axon_probe_minus_semantic_entropy,240,,-0.049,-0.121,0.025,-0.490,-0.558,-0.425,-0.903,-0.953,-0.845
axon_probe_minus_reversed_agreement,240,,0.046,-0.019,0.112,-0.344,-0.520,-0.179,-0.097,-0.155,-0.047
axon_probe_minus_reversed_entropy,240,,0.033,-0.040,0.105,-0.344,-0.520,-0.179,-0.097,-0.155,-0.047
axon_probe_minus_cling_timing,240,,-0.067,-0.141,0.010,-0.542,-0.630,-0.451,-0.575,-0.664,-0.481
axon_probe_minus_probe_rule_change,240,,-0.001,-0.018,0.015,-0.333,-0.750,0.000,-0.018,-0.046,0.000
