method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,240,0.500,0.541,0.470,0.610,0.695,0.571,0.812,0.283,0.209,0.355
semantic_entropy,240,0.750,0.537,0.465,0.609,0.612,0.531,0.688,0.641,0.564,0.716
reversed_agreement,240,0.800,0.459,0.390,0.530,0.591,0.489,0.691,0.359,0.284,0.436
reversed_entropy,240,-0.750,0.463,0.391,0.535,0.591,0.489,0.691,0.359,0.284,0.436
cling_timing,240,0.600,0.505,0.432,0.577,0.617,0.527,0.701,0.510,0.430,0.591
probe_rule_change,240,0.300,0.495,0.426,0.563,0.598,0.531,0.664,0.883,0.827,0.933
axon_probe,240,0.300,0.500,0.430,0.568,0.594,0.510,0.674,0.566,0.486,0.645
axon_probe_minus_uncertainty_agreement,240,,-0.041,-0.151,0.070,-0.101,-0.230,0.031,0.283,0.174,0.396
axon_probe_minus_semantic_entropy,240,,-0.037,-0.147,0.072,-0.018,-0.095,0.061,-0.076,-0.188,0.040
axon_probe_minus_reversed_agreement,240,,0.040,-0.043,0.126,0.003,-0.084,0.091,0.207,0.102,0.315
axon_probe_minus_reversed_entropy,240,,0.037,-0.050,0.126,0.003,-0.084,0.091,0.207,0.102,0.315
axon_probe_minus_cling_timing,240,,-0.006,-0.108,0.095,-0.022,-0.102,0.058,0.055,-0.060,0.173
axon_probe_minus_probe_rule_change,240,,0.005,-0.064,0.076,-0.004,-0.053,0.045,-0.317,-0.393,-0.242
