condition,step,n,accuracy,agreement,entropy
shift,0,30,0.700,0.640,1.038
shift,1,30,0.633,0.673,1.007
shift,2,30,0.500,0.607,1.144
shift,3,30,0.533,0.540,1.280
shift,4,30,0.733,0.640,1.090
shift,5,30,0.800,0.627,1.097
shift,6,30,0.800,0.687,0.884
shift,7,30,0.867,0.687,0.936
shift,8,30,0.700,0.627,1.105
shift,9,30,0.867,0.713,0.850
shift,10,30,0.333,0.733,0.791
shift,11,30,0.400,0.647,1.068
shift,12,30,0.367,0.587,1.189
shift,13,30,0.433,0.627,1.106
shift,14,30,0.467,0.660,1.043
shift,15,30,0.467,0.633,1.062
shift,16,30,0.367,0.593,1.144
shift,17,30,0.333,0.627,1.083
shift,18,30,0.467,0.567,1.257
shift,19,30,0.433,0.647,1.033
