condition,step,n,accuracy,agreement,entropy
shift,0,30,0.567,0.607,1.127
shift,1,30,0.533,0.607,1.127
shift,2,30,0.600,0.613,1.097
shift,3,30,0.567,0.580,1.137
shift,4,30,0.833,0.633,1.114
shift,5,30,0.833,0.640,1.087
shift,6,30,0.867,0.647,1.080
shift,7,30,0.833,0.687,0.958
shift,8,30,0.733,0.653,1.016
shift,9,30,0.833,0.673,1.027
shift,10,30,0.567,0.733,0.784
shift,11,30,0.467,0.673,1.026
shift,12,30,0.467,0.620,1.052
shift,13,30,0.733,0.647,1.048
shift,14,30,0.667,0.687,0.937
shift,15,30,0.533,0.627,1.109
shift,16,30,0.567,0.633,1.092
shift,17,30,0.700,0.613,1.129
shift,18,30,0.800,0.627,1.060
shift,19,30,0.733,0.673,1.014
