method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,236,0.500,0.397,0.318,0.478,0.707,0.586,0.823,0.219,0.164,0.280
semantic_entropy,236,0.750,0.407,0.323,0.492,0.762,0.698,0.825,0.738,0.676,0.798
reversed_agreement,236,0.800,0.603,0.522,0.682,0.891,0.800,0.965,0.262,0.202,0.324
reversed_entropy,236,-0.750,0.593,0.508,0.677,0.891,0.800,0.965,0.262,0.202,0.324
cling_timing,236,0.600,0.682,0.601,0.759,0.888,0.828,0.945,0.551,0.476,0.622
probe_rule_change,236,0.300,0.453,0.366,0.539,0.797,0.744,0.851,0.968,0.941,0.990
axon_probe,236,0.300,0.769,0.712,0.819,0.959,0.921,0.992,0.631,0.562,0.698
axon_probe_minus_uncertainty_agreement,236,,0.372,0.265,0.476,0.252,0.132,0.378,0.412,0.303,0.513
axon_probe_minus_semantic_entropy,236,,0.362,0.254,0.469,0.197,0.137,0.260,-0.107,-0.210,-0.005
axon_probe_minus_reversed_agreement,236,,0.166,0.081,0.252,0.068,-0.008,0.156,0.369,0.289,0.446
axon_probe_minus_reversed_entropy,236,,0.175,0.085,0.266,0.068,-0.008,0.156,0.369,0.289,0.446
axon_probe_minus_cling_timing,236,,0.087,-0.011,0.184,0.071,0.006,0.137,0.080,-0.016,0.177
axon_probe_minus_probe_rule_change,236,,0.316,0.213,0.419,0.162,0.111,0.215,-0.337,-0.405,-0.270
