condition,step,n,accuracy,agreement,entropy
shift,0,30,1.000,0.853,0.529
shift,1,30,1.000,0.860,0.505
shift,2,30,1.000,0.887,0.409
shift,3,30,1.000,0.873,0.457
shift,4,30,1.000,0.840,0.570
shift,5,30,1.000,0.853,0.529
shift,6,30,1.000,0.867,0.479
shift,7,30,1.000,0.847,0.554
shift,8,30,1.000,0.853,0.527
shift,9,30,1.000,0.880,0.433
shift,10,30,0.667,0.847,0.551
shift,11,30,0.700,0.873,0.457
shift,12,30,0.833,0.827,0.586
shift,13,30,0.867,0.820,0.581
shift,14,30,0.933,0.847,0.533
shift,15,30,0.933,0.847,0.533
shift,16,30,0.900,0.807,0.659
shift,17,30,0.967,0.847,0.522
shift,18,30,0.933,0.800,0.715
shift,19,30,1.000,0.853,0.529
