method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,240,0.500,0.535,0.459,0.609,0.500,0.000,1.000,0.039,0.000,0.091
semantic_entropy,240,0.750,0.537,0.460,0.611,0.517,0.333,0.700,0.197,0.111,0.294
reversed_agreement,240,0.800,0.465,0.391,0.541,0.289,0.229,0.349,0.803,0.706,0.889
reversed_entropy,240,-0.750,0.463,0.389,0.540,0.289,0.229,0.349,0.803,0.706,0.889
cling_timing,240,0.600,0.774,0.710,0.832,0.500,0.408,0.588,0.789,0.693,0.877
probe_rule_change,240,0.300,0.319,0.249,0.396,0.284,0.226,0.344,0.829,0.743,0.908
axon_probe,240,0.300,0.657,0.589,0.723,0.453,0.370,0.536,0.829,0.743,0.908
axon_probe_minus_uncertainty_agreement,240,,0.122,0.031,0.215,-0.047,-0.551,0.431,0.789,0.694,0.877
axon_probe_minus_semantic_entropy,240,,0.120,0.029,0.212,-0.064,-0.245,0.112,0.632,0.524,0.732
axon_probe_minus_reversed_agreement,240,,0.192,0.086,0.300,0.164,0.110,0.221,0.026,-0.108,0.167
axon_probe_minus_reversed_entropy,240,,0.194,0.087,0.302,0.164,0.110,0.221,0.026,-0.108,0.167
axon_probe_minus_cling_timing,240,,-0.117,-0.219,-0.011,-0.047,-0.121,0.028,0.039,-0.097,0.182
axon_probe_minus_probe_rule_change,240,,0.339,0.276,0.403,0.169,0.130,0.216,0.000,0.000,0.000
