condition,step,n,accuracy,agreement,entropy
shift,0,30,1.000,0.860,0.505
shift,1,30,1.000,0.867,0.479
shift,2,30,1.000,0.880,0.428
shift,3,30,1.000,0.873,0.455
shift,4,30,1.000,0.860,0.505
shift,5,30,1.000,0.873,0.441
shift,6,30,1.000,0.860,0.505
shift,7,30,1.000,0.873,0.457
shift,8,30,1.000,0.840,0.578
shift,9,30,1.000,0.867,0.479
shift,10,30,0.333,0.873,0.457
shift,11,30,0.400,0.847,0.554
shift,12,30,0.567,0.807,0.638
shift,13,30,0.700,0.780,0.673
shift,14,30,0.867,0.847,0.525
shift,15,30,0.767,0.847,0.498
shift,16,30,0.833,0.807,0.629
shift,17,30,1.000,0.833,0.564
shift,18,30,0.933,0.833,0.578
shift,19,30,0.967,0.847,0.532
