path,condition,seed,step,phase,cue,chosen,correct,reward,agreement,branches,old,currents,change_score,stale_score,probe_pairs,probe_text,insufficient_history
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,0,pre,red,C,C,1,1.0,C|C|C|C|C,,,,,,,1
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,1,pre,red,C,C,1,0.8,C|C|C|C|B,,,,,,,1
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,2,pre,blue,B,B,1,0.8,?|B|B|B|B,,,,,,,1
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,3,pre,red,C,C,1,0.8,?|C|C|C|C,,,,,,,1
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,4,pre,green,A,A,1,0.8,A|A|A|A|C,,,,,,,1
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,5,pre,red,C,C,1,0.8,C|C|C|C|B,C,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,6,pre,red,C,C,1,0.8,C|C|C|C|B,C,NO|NO|YES,0.333,0.333,NO|NO|YES,NO.|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,7,pre,red,C,C,1,0.8,C|C|C|C|B,C,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,8,pre,red,C,C,1,0.8,C|C|C|C|B,C,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,9,pre,red,C,C,1,0.8,C|C|C|C|B,C,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,10,post,green,A,A,1,0.8,A|A|A|A|B,A,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,11,post,blue,B,B,1,0.8,B|B|B|B|C,B,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,12,post,green,A,A,1,0.8,A|A|A|A|C,A,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,13,post,blue,B,B,1,1.0,B|B|B|B|B,B,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,14,post,red,C,A,0,0.8,C|C|C|C|B,C,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,15,post,blue,B,B,1,0.8,B|B|B|B|C,B,YES|YES|YES,1.000,1.000,YES|YES|YES,YES|YES|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,16,post,blue,B,B,1,1.0,B|B|B|B|B,B,YES|YES|YES,1.000,1.000,YES|YES|YES,YES|YES|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,17,post,green,A,A,1,0.8,A|A|A|A|B,A,YES|YES|NO,0.667,0.667,YES|YES|NO,YES|YES|NO,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,18,post,red,A,A,1,0.8,A|A|A|A|C,C,YES|YES|NO,0.667,0.000,YES|YES|NO,YES.|YES|NO,0
traces/stage5_scale/70b/ov2_blue-green_seed0.csv,shift,0,19,post,green,A,A,1,0.8,A|A|A|A|B,A,YES|YES|YES,1.000,1.000,YES|YES|YES,YES|YES|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,0,pre,blue,B,B,1,0.8,B|B|B|B|C,,,,,,,1
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,1,pre,green,A,A,1,0.8,A|A|A|A|C,,,,,,,1
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,2,pre,blue,B,B,1,1.0,B|B|B|B|B,,,,,,,1
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,3,pre,red,C,C,1,1.0,C|C|C|C|C,,,,,,,1
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,4,pre,blue,B,B,1,0.6,B|B|B|?|C,B,NO|NO|YES,0.333,0.333,NO|NO|YES,NO.|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,5,pre,red,C,C,1,1.0,C|C|C|C|C,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,6,pre,red,C,C,1,0.8,C|C|C|C|B,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO.,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,7,pre,red,C,C,1,0.8,C|C|C|C|B,C,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO.,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,8,pre,green,A,A,1,0.8,A|A|A|A|B,A,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,9,pre,red,C,C,1,1.0,C|C|C|C|C,C,NO|NO|YES,0.333,0.333,NO|NO|YES,NO.|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,10,post,blue,B,B,1,1.0,B|B|B|B|B,B,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,11,post,blue,B,B,1,1.0,B|B|B|B|B,B,NO|NO|NO,0.000,0.000,NO|NO|NO,NO|NO|NO,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,12,post,red,C,A,0,0.8,C|C|C|C|B,C,NO|NO|YES,0.333,0.333,NO|NO|YES,NO|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,13,post,blue,B,B,1,0.8,B|B|B|B|C,B,YES|YES|YES,1.000,1.000,YES|YES|YES,YES.|YES|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,14,post,red,A,A,1,0.6,A|A|A|C|B,C,YES|YES|NO,0.667,0.000,YES|YES|NO,YES|YES|NO,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,15,post,red,A,A,1,1.0,A|A|A|A|A,C,YES|NO|YES,0.667,0.000,YES|NO|YES,YES|NO|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,16,post,green,A,A,1,0.8,A|A|A|A|B,A,YES|YES|YES,1.000,1.000,YES|YES|YES,YES.|YES|YES,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,17,post,blue,B,B,1,0.8,B|B|B|B|C,B,YES|YES|NO,0.667,0.667,YES|YES|NO,YES|YES|NO,0
traces/stage5_scale/70b/ov2_blue-green_seed1.csv,shift,1,18,post,green,A,A,1,0.8,A|A|A|A|C,A,YES|NO|NO,0.333,0.333,YES|NO|NO,YES|NO|NO,0
