method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,240,0.500,0.537,0.441,0.632,0.750,0.000,1.000,0.083,0.000,0.184
semantic_entropy,240,0.750,0.536,0.441,0.631,0.227,0.062,0.417,0.139,0.031,0.265
reversed_agreement,240,0.800,0.463,0.369,0.559,0.142,0.096,0.190,0.861,0.735,0.969
reversed_entropy,240,-0.750,0.464,0.369,0.559,0.142,0.096,0.190,0.861,0.735,0.969
cling_timing,240,0.600,0.712,0.617,0.801,0.233,0.157,0.311,0.778,0.630,0.905
probe_rule_change,240,0.300,0.264,0.189,0.349,0.134,0.088,0.181,0.778,0.632,0.907
axon_probe,240,0.300,0.417,0.339,0.499,0.164,0.107,0.222,0.750,0.600,0.886
axon_probe_minus_uncertainty_agreement,240,,-0.120,-0.237,-0.007,-0.586,-0.879,0.155,0.667,0.464,0.848
axon_probe_minus_semantic_entropy,240,,-0.119,-0.237,-0.006,-0.064,-0.255,0.098,0.611,0.405,0.791
axon_probe_minus_reversed_agreement,240,,-0.047,-0.175,0.092,0.021,-0.010,0.053,-0.111,-0.286,0.062
axon_probe_minus_reversed_entropy,240,,-0.047,-0.175,0.091,0.021,-0.010,0.053,-0.111,-0.286,0.062
axon_probe_minus_cling_timing,240,,-0.296,-0.427,-0.152,-0.070,-0.125,-0.017,-0.028,-0.220,0.175
axon_probe_minus_probe_rule_change,240,,0.153,0.106,0.203,0.030,0.013,0.047,-0.028,-0.093,0.000
