seed,accuracy_collapse_step,confidence_dip_step,cling_time,censored
ov1_blue_seed0,10,12,2,0
ov1_blue_seed1,12,18,6,0
ov1_blue_seed2,11,,,1
ov1_blue_seed3,10,,,1
ov1_blue_seed4,10,15,5,0
ov1_blue_seed5,11,19,8,0
ov1_blue_seed6,10,,,1
ov1_blue_seed7,11,,,1
ov1_blue_seed8,10,,,1
ov1_blue_seed9,10,14,4,0
ov1_green_seed0,11,,,1
ov1_green_seed1,10,,,1
ov1_green_seed2,10,,,1
ov1_green_seed3,11,,,1
ov1_green_seed4,10,,,1
ov1_green_seed5,10,,,1
ov1_green_seed6,11,16,5,0
ov1_green_seed7,10,,,1
ov1_green_seed8,11,,,1
ov1_green_seed9,10,,,1
ov1_red_seed0,10,,,1
ov1_red_seed1,10,,,1
ov1_red_seed2,10,,,1
ov1_red_seed3,10,,,1
ov1_red_seed4,11,,,1
ov1_red_seed5,10,,,1
ov1_red_seed6,10,,,1
ov1_red_seed7,10,,,1
ov1_red_seed8,10,13,3,0
ov1_red_seed9,11,17,6,0
