seed,accuracy_collapse_step,confidence_dip_step,cling_time,censored
ov0_none_seed0,10,,,1
ov0_none_seed1,10,,,1
ov0_none_seed10,10,13,3,0
ov0_none_seed11,10,,,1
ov0_none_seed12,10,14,4,0
ov0_none_seed13,10,11,1,0
ov0_none_seed14,10,,,1
ov0_none_seed15,10,,,1
ov0_none_seed16,10,14,4,0
ov0_none_seed17,10,,,1
ov0_none_seed18,10,,,1
ov0_none_seed19,10,14,4,0
ov0_none_seed2,10,13,3,0
ov0_none_seed20,10,13,3,0
ov0_none_seed21,10,12,2,0
ov0_none_seed22,10,18,8,0
ov0_none_seed23,10,,,1
ov0_none_seed24,10,12,2,0
ov0_none_seed25,10,,,1
ov0_none_seed26,10,,,1
ov0_none_seed27,10,,,1
ov0_none_seed28,10,,,1
ov0_none_seed29,10,,,1
ov0_none_seed3,10,,,1
ov0_none_seed4,10,,,1
ov0_none_seed5,10,19,9,0
ov0_none_seed6,10,17,7,0
ov0_none_seed7,10,,,1
ov0_none_seed8,10,13,3,0
ov0_none_seed9,10,14,4,0
