seed,accuracy_collapse_step,confidence_dip_step,cling_time,censored
ov2_blue-green_seed0,14,,,1
ov2_blue-green_seed1,12,,,1
ov2_blue-green_seed2,16,,,1
ov2_blue-green_seed3,12,13,1,0
ov2_blue-green_seed4,10,,,1
ov2_blue-green_seed5,15,,,1
ov2_blue-green_seed6,11,,,1
ov2_blue-green_seed7,15,,,1
ov2_blue-green_seed8,12,,,1
ov2_blue-green_seed9,10,,,1
ov2_blue-red_seed0,10,12,2,0
ov2_blue-red_seed1,16,,,1
ov2_blue-red_seed2,11,13,2,0
ov2_blue-red_seed3,10,,,1
ov2_blue-red_seed4,11,,,1
ov2_blue-red_seed5,11,,,1
ov2_blue-red_seed6,10,,,1
ov2_blue-red_seed7,11,,,1
ov2_blue-red_seed8,10,,,1
ov2_blue-red_seed9,11,,,1
ov2_green-red_seed0,11,13,2,0
ov2_green-red_seed1,10,,,1
ov2_green-red_seed2,10,,,1
ov2_green-red_seed3,11,,,1
ov2_green-red_seed4,13,,,1
ov2_green-red_seed5,10,,,1
ov2_green-red_seed6,13,,,1
ov2_green-red_seed7,10,,,1
ov2_green-red_seed8,11,,,1
ov2_green-red_seed9,12,,,1
