method,n,threshold,auroc,auroc_low,auroc_high,precision,precision_low,precision_high,recall,recall_low,recall_high
uncertainty_agreement,236,0.500,0.495,0.427,0.564,0.308,0.071,0.600,0.040,0.009,0.085
semantic_entropy,236,0.750,0.495,0.427,0.564,0.395,0.250,0.550,0.172,0.100,0.253
reversed_agreement,236,0.800,0.505,0.436,0.573,0.425,0.354,0.495,0.828,0.748,0.900
reversed_entropy,236,-0.750,0.505,0.436,0.573,0.425,0.354,0.495,0.828,0.748,0.900
cling_timing,236,0.600,0.851,0.797,0.900,0.672,0.586,0.757,0.788,0.702,0.867
probe_rule_change,236,0.300,0.236,0.180,0.295,0.404,0.342,0.468,0.939,0.889,0.981
axon_probe,236,0.300,0.955,0.925,0.981,1.000,1.000,1.000,0.909,0.849,0.961
axon_probe_minus_uncertainty_agreement,236,,0.460,0.379,0.537,0.692,0.400,0.929,0.869,0.784,0.941
axon_probe_minus_semantic_entropy,236,,0.459,0.379,0.536,0.605,0.450,0.750,0.737,0.633,0.833
axon_probe_minus_reversed_agreement,236,,0.449,0.380,0.520,0.575,0.505,0.646,0.081,-0.009,0.170
axon_probe_minus_reversed_entropy,236,,0.450,0.380,0.520,0.575,0.505,0.646,0.081,-0.009,0.170
axon_probe_minus_cling_timing,236,,0.103,0.043,0.168,0.328,0.243,0.414,0.121,0.019,0.227
axon_probe_minus_probe_rule_change,236,,0.718,0.656,0.778,0.596,0.532,0.658,-0.030,-0.069,0.000
